tweet_id,Number_of_Likes,retweet_count
892420643555336193,36192,7703
892177421306343426,31207,5697
891815181378084864,23499,3777
891689557279858688,39474,7861
891327558926688256,37684,8480
891087950875897856,18982,2839
890971913173991426,11056,1847
890729181411237888,60963,17196
890609185150312448,26136,3912
890240255349198849,29871,6691
890006608113172480,28748,6677
889880896479866881,26166,4546
889665388333682689,45026,9117
889638837579907072,25334,4087
889531135344209921,14191,2056
889278841981685760,23613,4858
888917238123831296,27271,4098
888804989199671297,23973,3868
888554962724278272,18509,3176
888078434458587136,20415,3161
887705289381826560,28350,4911
887517139158093824,43460,10733
887473957103951883,64408,16401
887343217045368832,31548,9550
887101392804085760,28698,5442
886983233522544640,32737,6999
886736880519319552,11230,2931
886680336477933568,21060,4079
886366144734445568,19821,2887
886267009285017600,111,4
886258384151887873,26222,5762
886054160059072513,0,100
885984800019947520,30524,6126
885528943205470208,33686,5830
885518971528720385,19200,3405
885311592912609280,0,16891
885167619883638784,20514,3988
884925521741709313,72206,16506
884876753390489601,26086,5092
884562892145688576,22777,4291
884441805382717440,25397,5200
884247878851493888,68042,18529
884162670584377345,19127,2733
883838122936631299,20488,3134
883482846933004288,42956,9012
883360690899218434,21251,3375
883117836046086144,34781,6056
882992080364220416,22382,3556
882762694511734784,26504,4461
882627270321602560,26241,5543
882268110199369728,42016,10559
882045870035918850,27476,4462
881906580714921986,22812,3103
881666595344535552,47466,9743
881633300179243008,117,7
881536004380872706,46366,14572
881268444196462592,21789,4814
880935762899988482,16013,2548
880872448815771648,19937,3495
880465832366813184,26716,5678
880221127280381952,25273,3804
880095782870896641,25883,3965
879862464715927552,20974,3198
879674319642796034,297,10
879492040517615616,22021,2909
879415818425184262,99197,40559
879376492567855104,15757,2860
879130579576475649,0,6215
879050749262655488,21122,4289
879008229531029506,17827,2451
878776093423087618,18167,3737
878604707211726852,28269,6494
878404777348136964,0,1177
878316110768087041,0,6092
878281511006478336,7262,1177
878057613040115712,39523,6215
877736472329191424,74413,17338
877611172832227328,0,73
877556246731214848,21313,3488
877316821321428993,25731,4768
877201837425926144,25440,5109
876838120628539392,19447,3051
876537666061221889,22212,4298
876484053909872640,17640,2172
876120275196170240,26302,4281
875747767867523072,23645,3909
875144289856114688,20604,4508
875097192612077568,25801,5575
875021211251597312,23978,4332
874680097055178752,26145,4248
874434818259525634,0,13345
874296783580663808,24518,3769
874057562936811520,21371,3657
874012996292530176,32276,9418
873580283840344065,22806,3616
873337748698140672,0,1469
873213775632977920,6744,1469
872967104147763200,25687,4990
872820683541237760,13891,3426
872620804844003328,19525,3355
872486979161796608,38443,8332
872122724285648897,32387,7464
871879754684805121,35482,10141
871762521631449091,19087,3224
871515927908634625,19060,3215
871166179821445120,0,5283
871102520638267392,19782,5105
871032628920680449,21499,3539
870804317367881728,31809,5726
870726314365509632,114,3
870656317836468226,11689,2450
870374049280663552,78552,24537
870308999962521604,20748,3852
870063196459192321,34582,7707
869772420881756160,40297,9393
869702957897576449,26760,5859
869596645499047938,15117,2905
869227993411051520,19351,3513
868880397819494401,62046,13429
868639477480148993,0,1935
868622495443632128,25335,4935
868552278524837888,9568,1935
867900495410671616,22982,3898
867774946302451713,32281,6859
867421006826221569,15288,2324
867072653475098625,0,112
867051520902168576,30644,7359
866720684873056260,19069,4484
866686824827068416,18358,3266
866450705531457537,116341,32946
866334964761202691,49925,13345
866094527597207552,0,7846
865718153858494464,24454,5268
865359393868664832,25243,4696
865006731092295680,26724,7219
864873206498414592,30783,8151
864279568663928832,13913,2838
864197398364647424,28635,8322
863907417377173506,19672,3889
863553081350529029,14587,3937
863471782782697472,0,2288
863432100342583297,22730,4941
863427515083354112,2104,89
863079547188785154,8399,1047
863062471531167744,8089,2288
862831371563274240,18363,4854
862722525377298433,16360,3338
862457590147678208,19569,4651
862096992088072192,71123,21829
861383897657036800,34567,10114
861288531465048066,16466,3910
861005113778896900,16019,3610
860981674716409858,0,2032
860924035999428608,0,759
860563773140209665,7185,2032
860524505164394496,22681,5032
860276583193509888,17641,3324
860184849394610176,16025,5544
860177593139703809,0,29332
859924526012018688,18821,3897
859851578198683649,14834,3334
859607811541651456,17905,1486
859196978902773760,86366,28636
859074603037188101,32535,12962
858860390427611136,0,7716
858843525470990336,15013,3319
858471635011153920,20720,4626
858107933456039936,15185,2770
857989990357356544,15521,2479
857746408056729600,33061,10145
857393404942143489,5684,1572
857263160327368704,19370,4320
857214891891077121,217,17
857062103051644929,0,162
857029823797047296,18215,3811
856543823941562368,15796,2768
856526610513747968,11496,1800
856330835276025856,0,646
856288084350160898,495,15
856282028240666624,26872,6038
855862651834028034,325,25
855860136149123072,4771,938
855857698524602368,11512,2029
855851453814013952,44387,17340
855818117272018944,25888,5223
855459453768019968,28984,7922
855245323840757760,0,5751
855138241867124737,0,43
854732716440526848,22115,5857
854482394044301312,28532,6645
854365224396361728,18394,4534
854120357044912130,31193,7229
854010172552949760,15826,3055
853760880890318849,27890,5564
853639147608842240,33860,9740
853299958564483072,15129,3458
852936405516943360,0,1937
852912242202992640,8829,1764
852672615818899456,14589,2102
852553447878664193,15958,3382
852311364735569921,32496,9689
852226086759018497,19592,6670
852189679701164033,11239,1553
851861385021730816,0,19
851591660324737024,15966,3397
851464819735769094,23824,6894
851224888060895234,20327,5604
850753642995093505,30273,8927
850380195714523136,12883,2554
850333567704068097,3400,322
850145622816686080,16059,3713
850019790995546112,20080,4776
849776966551130114,29980,7441
849668094696017920,0,4861
849412302885593088,15636,3101
849336543269576704,11255,1866
849051919805034497,41743,8329
848690551926992896,24827,4244
848324959059550208,24378,4535
848213670039564288,8069,719
848212111729840128,16111,2989
847978865427394560,0,3208
847971574464610304,0,425
847962785489326080,23216,4997
847842811428974592,5372,1312
847617282490613760,6909,408
847606175596138505,18549,3380
847251039262605312,20265,4253
847157206088847362,19667,5764
847116187444137987,21232,3134
846874817362120707,19883,3877
846514051647705089,44164,11403
846505985330044928,13962,3032
846153765933735936,31307,8924
846139713627017216,30752,9891
846042936437604353,15826,2832
845812042753855489,28956,8593
845677943972139009,24971,4738
845397057150107648,7569,1783
845306882940190720,23135,5329
845098359547420673,0,7571
844979544864018432,13527,2526
844973813909606400,14960,3154
844580511645339650,16359,3096
844223788422217728,13550,2178
843981021012017153,15080,2918
843856843873095681,21328,4579
843604394117681152,16761,2721
843235543001513987,21377,5976
842846295480000512,15200,3613
842765311967449089,6691,1268
842535590457499648,18008,3479
842163532590374912,24324,5751
842115215311396866,13910,3012
841833993020538882,0,14978
841680585030541313,25618,7762
841439858740625411,12599,3667
841320156043304961,19727,5474
841314665196081154,15787,4625
841077006473256960,22797,5283
840761248237133825,0,1758
840728873075638272,0,16055
840698636975636481,174,2
840696689258311684,12250,967
840632337062862849,8973,1758
840370681858686976,16409,4520
840268004936019968,19205,5701
839990271299457024,13386,2268
839549326359670784,27415,7716
839290600511926273,0,143
839239871831150596,27057,6513
838952994649550848,19620,3988
838921590096166913,11135,2059
838916489579200512,0,35
838831947270979586,0,10981
838561493054533637,10932,1334
838476387338051585,22481,4765
838201503651401729,0,10039
838150277551247360,1672,332
838085839343206401,138,1
838083903487373313,17611,3130
837820167694528512,34128,7846
837482249356513284,3849,442
837471256429613056,12806,2275
837110210464448512,16079,2365
836989968035819520,12779,2293
836753516572119041,19327,4640
836677758902222849,12619,2227
836648853927522308,0,555
836397794269200385,0,27515
836380477523124226,14775,2992
836260088725786625,21332,4307
836001077879255040,19104,4267
835685285446955009,0,8138
835574547218894849,17818,3627
835536468978302976,0,1701
835309094223372289,0,20969
